model,accuracy
lr-00a4d61711172704fbab16d53d5f69cd,0.5841
lr-01a6656b17e7e659a52d8e6a32484113,0.3203
lr-01cde8f343d0390f7b41124eea67c743,0.2458
lr-038deab1af4ff25535f4a73e88af5470,0.2997
lr-03d2018fd5a9a21b044747f88e0f9508,0.2743
lr-04a6a5eb635aa203f70a374772241b26,0.7200
lr-04a7bf7e41562778a927910b071d1fd8,0.5837
lr-05742957b8509e8473218e76839cf0a8,0.7730
lr-058f0eb2704fab9b519654d19ba8fbbb,0.8029
lr-06b5ad8dbd1dacf0b04195649b50fe8d,0.3054
lr-06cb8c9c3b6b6ba275c4c27a265d9bdf,0.3814
lr-07276c315c68735f85dba3e602faa469,0.7770
lr-077706d4a52515d1432419451c8659c3,0.3041
lr-0838cae96ff1fd83f2eab720a0964d52,0.4106
lr-085b628ab06db39a069a3ac9bc4bab92,0.4470
lr-099149285fffd8dbd34c072272faf607,0.2663
lr-09b713ce34d7b1df11398622739a421e,0.8257
lr-09ccfa3de2e07b3f8c75cdc53b693133,0.3266
lr-09f2bf43b83d31a7f0960defe15ad5b4,0.2896
lr-0a6655da101912cefb123591bcc7efb3,0.6491
lr-0bdc238cb7b404cf07339eaf0849584a,0.2228
lr-0c5b30dc2303117109b5706740a37075,0.1217
lr-0d7d9a3b7c08e704503c3fccc1abd199,0.7903
lr-0dfa793bb7d75c5eeae43aec05356b1a,0.3137
lr-0e4bdc4620c00d5f47afacb01a176d66,0.4433
lr-0f470d0083cdb88933b8bc781a9dddb3,0.4547
lr-0f5820a862f4566a7b766cc9dd90be7c,0.4551
lr-0f5b3cd740cc31b1d6b76a5c7058a3aa,0.3544
lr-0f5c62c05799cc88547b41545d2264d7,0.3016
lr-0f61d6b35c259e2a4c7eb5614e389687,0.3371
lr-0f8162eeea2f6588557e3f9720dfb677,0.4143
lr-1009f3806f50ab2b8afda8bbafdeca5e,0.5539
lr-1098484f30ea1678dbd343eba2a78a64,0.3766
lr-10a08758e7969014614a26cc5c3f4683,0.4380
lr-10ab1dfa372b6cdab8c9451222925820,0.2903
lr-1147fb404db4d8c932238011f1c48ba7,0.5618
lr-114f7232c762c0b84d2188501cff2d73,0.8031
lr-126d74e65ae00f6bbd6240a24975a00e,0.7247
lr-1274bd894a61619a8abec76d2dc64dfd,0.7680
lr-136311bac3007fb9e46a9dda5a5a2819,0.2771
lr-140b85d1f9f6885d804f5bd0e318d61e,0.4207
lr-14239205a9f64e1459736f22c260838f,0.7050
lr-1476bfaae94785f1aba0974e3f160d53,0.1943
lr-16b8f97f3039052d9950ec73cf0c9dae,0.2220
lr-16ca563682e43595fc50040eacc5f43e,0.1279
lr-16d8077f8537745fd755b6ae445fb775,0.7679
lr-170669b10e216d173288b4880b461cbc,0.7823
lr-1771c5cd86fbd6dee26274b466da6b9e,0.3058
lr-1940adc8f55f607d41c60964a2dacb28,0.6587
lr-198c4f24bde71c9149400c139240a000,0.4497
lr-19f48f7d0f8fe3363f3917992b9f7cec,0.3076
lr-1ade512924d39e6a3f33982970e0105c,0.3130
lr-1b04ebe734e5a90c078c5319cff88268,0.7923
lr-1b7be610623c7287c277e55a0ea119e0,0.4686
lr-1bb79f2d1b5ed2c7463c05ebd49823b3,0.1371
lr-1c25aa29c3aa2ce67028f2e44a38057e,0.3748
lr-1c86fbd663d4f7150157052cd2aea01a,0.6145
lr-1c9dcb467c5759714af259dde86429d6,0.7215
lr-1cda0dd1407b5e1d7524cb5a88278325,0.5826
lr-1e9abf1d2529acf0d24551a5854f6e7f,0.5600
lr-1ee011484d7a12dccc265c912d59c37e,0.7239
lr-1f086d6c49a950a99aea428398afe656,0.2823
lr-1fd74cd24d40ce43c15b107887331fd4,0.5168
lr-2016ff12e11e3387291d0f3a6289cff7,0.8152
lr-20918aae4f50bcb74a0b5c87badc1496,0.7416
lr-209ff6b08468a0ec05a54febad139d31,0.3710
lr-21774ebd620c2c9beae13298adf285ee,0.2459
lr-217a7e28c535e71f1d7ab2bc47b95961,0.5716
lr-21bdfcacf433d2e9f897cccfbef73704,0.3691
lr-21da9265003b2e1b9d1620ddf6ca4fc4,0.3383
lr-22997a8c84229009ded86c24df7507ad,0.7299
lr-25f33605b4795cbd10ead34a34807493,0.7202
lr-2624a98dd60cd4556881675600617b6c,0.7824
lr-26b7b3411157448379160f6494dd4644,0.2838
lr-2752dcb8ee317ed95bafa67dd604f612,0.2727
lr-2acac2be43010c5f70e4e907f6e028fe,0.5896
lr-2b49d17233150f0bb80da67bea7c2a58,0.4363
lr-2d5410db67ee1d77e81d363ada80bac1,0.3111
lr-2d799325e9008f37b12bca97b0b768e8,0.5688
lr-2e078fbb795a63f9c0cba1756c27aa15,0.5927
lr-2e08072d841c954f8b4289de57344df5,0.2981
lr-2f769a8771ddcd68c77af94b0f871089,0.7265
lr-303cf429b2b6a5aa89aa05d8a6e70233,0.1597
lr-304c75c1b418232a17bb6d431367f6af,0.4074
lr-309bea87f245cb280141d0b9b0381462,0.1540
lr-323b3a86bc29612d1a93b691df52679c,0.7855
lr-3356795ffa52108aa86aad5e6425cb4c,0.3855
lr-336a2730706fd4650c1361b49ff314a5,0.5723
lr-34d064d01a662cfad7fe0befb7706a71,0.2575
lr-3547fb3778ed9c1d2796e03139e7f50b,0.6450
lr-35bc4462f27aa030bb99e6c066992550,0.5689
lr-35fe6df46f7167af3da72e103323cf23,0.3818
lr-362f6421a7fa785cec470cb2c6a4df3a,0.3765
lr-3641abd8c8d6b8fbab101e2cd885b1b5,0.3088
lr-3663ac3a35670e88889d17a8ac48cfa9,0.3994
lr-36a7f89da0f9f57f8c14ce51d8be5c87,0.4199
lr-36f06035b6b32b94add810f96a68d826,0.8045
lr-36faba91c2ce877b343576dfeeefce04,0.7473
lr-3757b295044dd00361ff9c0867a82df8,0.7576
lr-38155d68c2c7b8abc540a45b00221d35,0.4158
lr-38689e96620b666ae8f95a96cb8b1b39,0.7943
lr-387fdf18154d02450fb61e04dca03092,0.1745
lr-3a8d26c28581138c5595eb88ecd8ffaa,0.8004
lr-3b8b948e3083fe8ed77791e8509bff31,0.7310
lr-3be7900314309eb4a41b38ab7ba12e83,0.5828
lr-3c59e61cf3d342d1f66cc7eafc90379b,0.6928
lr-3c64dd1fe13316592623dcc5f0b54e85,0.4826
lr-3cc757e84f7de84adaca1da425678aff,0.3278
lr-3d8f9527af05b47a06b6025952594733,0.7702
lr-3deb24fd925e025577674794a08098ef,0.3995
lr-3ed0b9945de6f819a27178aadc495df2,0.2632
lr-3ee525f50a8cad7440dd4f793a6dce83,0.7230
lr-3f24f993f973ca1f4848238c5692b773,0.7763
lr-3f2be99832e892b5d4fb15ecb4328e0e,0.3286
lr-3f48e8f0263bffafb3f55c8e4025563d,0.3060
lr-3f504c442a3b49606bafcbdf26495cf1,0.8298
lr-3fbfb8e094487e214dec98a8e1413ce8,0.4282
lr-3fc3eb8ad7ae0e21dec13e0938546e00,0.3969
lr-3fc90958a322e69b1d21610eaa26d1d7,0.7819
lr-404d4be5dd60c59d68dad3c823fb7284,0.2243
lr-412c0b1d096a68c0cd6be8db1e23b47a,0.5154
lr-413fa269f6c88052024ccf65c36c4c8e,0.7098
lr-419d01ce196b9b12f3fbce3b2111b3ad,0.5550
lr-41a53fb531521fcb94463b5f1e9e73bb,0.2218
lr-423984c3583a46c7bc75892d3d74be9c,0.5469
lr-4267224cce09befc0c37066188f6c3aa,0.8150
lr-43200ad85227fa3896c99fc7b2ab6de1,0.7768
lr-442857a15c4834c7cbf483ce3437774c,0.2732
lr-446d84efb269a63a628156048786d775,0.2778
lr-44b7be8576d6e4d2c87e2d36d9331d5f,0.3836
lr-44ce1e69da264b7e0b304decc003b6d4,0.7090
lr-451616fd2826df02eb735178907fee9b,0.8039
lr-452c7476c382861790ddb5944d58f8fd,0.7060
lr-4623fb821bb3244c81cdfdd9f15b11c5,0.2849
lr-466c5bb2a19144a3bbf61a0ee0d892c4,0.4009
lr-46d7088102056d5b756bcf79b3c23ba6,0.7326
lr-48115a25ae582efbde7fcb0ea3ce18a9,0.7532
lr-49387ab98025d2f8019df332ee5c2b4b,0.7429
lr-49dd8648406b6e749bcf0f5274a88e61,0.7988
lr-49e803d295335b8d9b5f8881c8976aa7,0.7455
lr-4b6112d17bda74c78d1d94c95fd9f991,0.5919
lr-4c03dae63d2c0912c260aaa080ba86ef,0.6443
lr-4c06369eb5d03b1263afa2c3f1d78787,0.6710
lr-4c1efb48e0f9fab50b42eceea332bf2c,0.2703
lr-4c4d49d6196413a41bebcfdf1be09e33,0.7609
lr-4c9a5b2bdf665060d023ba5fb1a5692c,0.4218
lr-4d3d606ff9178962b3e474668c9774cc,0.3632
lr-4e9a8062998acf710c8f8412475cede8,0.7948
lr-4f2c740083f8985efe1cd0107b8e62fc,0.5842
lr-4f526ae4ba84d75fe6ff19be852f7b38,0.6617
lr-4f87915426b7b6847c8b7ed90e54e7ff,0.3331
lr-5046ef6342f21916e8544b0b61e8eae5,0.3233
lr-51fb508c8dba853dfa9e4f6117b23aad,0.5455
lr-527d78c705ca7dfd03d8440c10cfa93e,0.7440
lr-52c06e7a7ebf2c350824c02ab89bcbd0,0.3751
lr-537610d9065425b212dd662ecad25a49,0.8422
lr-5381bab5c5c3311bbb92f89e7406a22e,0.2749
lr-54522787360035f39d90d7808dd44bb0,0.7399
lr-5492447864f8e30ea735b4b571e1138c,0.2211
lr-54a89b2f63307df1143590c637b82906,0.4091
lr-5509da67b01d3cb87cc42799e27539dc,0.7446
lr-5673b4871893b8188f3a71dbf34742d6,0.2891
lr-569cea729c291613ec589a2b92827090,0.5831
lr-56ff1c2902228caac799719dd850adc4,0.3128
lr-577c032a602229d356c4e72b010f58d9,0.8026
lr-5811ae98704664da2629304603ef6136,0.4225
lr-58295a1c4f1ac5b9d9ae27834b0712c4,0.6978
lr-586bfc2c0ffc2007f90eb5b1358942f7,0.1994
lr-58ac57a3fa1037ce2679d39e48dd84d8,0.7959
lr-59be5f39e26657d3ae8d6f9ee5925792,0.5923
lr-59e8f39c7bc09b944315b43ce4d3e512,0.3684
lr-5a027ce15e09dad75b995e9384e213ef,0.8171
lr-5ad67a8bd97262aba1d844475a419104,0.7731
lr-5b1f16eb7d0bd38537826e6e66954379,0.4441
lr-5b34194cf6d5bad5bb3c6509cfd2bce0,0.7432
lr-5bfcf462a719ab352afde829a8836545,0.3339
lr-5cb2cbb8f38c2f5e24320b4981aa4a43,0.7849
lr-5d140975a5263f308e022c9c869db798,0.3122
lr-5d95c53b2195fcc37a28a1da6a4fe88c,0.4493
lr-5e3a593f2ef343f5c9bdf8907d45e642,0.3425
lr-5e6a6cc8efdaf62fd83eb36fc98b81c7,0.7768
lr-5eb09b66c166fe4d79cc96b83fe1889b,0.7572
lr-5ec96f66432b319d0d2a8e8a7144c8c1,0.3672
lr-5eed4d2783c1e6ffd21f491718ef3751,0.2533
lr-60747621bf24c5fbcba154895576b9dd,0.2669
lr-60f9a954592b765e6a830473d4e7bb6c,0.4178
lr-61891c0b0b4d457fadc1a4abc3f537db,0.3040
lr-619e953959edfa896279bac73b2c0e1e,0.3690
lr-61b03d7e588b17125bd386970d1020b0,0.5957
lr-621b7ef956e06d48ec15213951c6abbe,0.8202
lr-628b9d7d69dfb178a534e121bce3614c,0.8275
lr-62d3d9b9243c1155d4c72ad17a51cda4,0.8020
lr-62da22fb62c9ae84b1730438172be607,0.4593
lr-6307be8b9b202417b2554379f6593dd9,0.2652
lr-643b64c354e7e448f5e64d57fbdd85c4,0.7939
lr-644913126c6a838c564b7d3ba59c4f31,0.8018
lr-64afaecd958e90f58248ecd4522a546d,0.7378
lr-64edbe917c6c80300370f530ef9aa31a,0.8026
lr-6517ec7916b6b506e3091398abc99a30,0.3500
lr-657b95b3d8a5734d1c0ed9b30cf71d6f,0.5158
lr-658df10be4cfe1b75bc189fe34b6c839,0.8118
lr-65b13065f71f31a0a6885a21218dc187,0.4564
lr-667738a5eed49a9512afe21d459d142d,0.6912
