Dataset                    Success     Fail    Total   Success%
---------------------------------------------------------------
celeba-gender                   20        0       20     100.0%
celeba_gender                    0      574      574       0.0%
cifar-10                         6        0        6     100.0%
cifar-100                       11        0       11     100.0%
cifar_10                         0      588      588       0.0%
cifar_100                        0      583      583       0.0%
imagenette                      50      544      594       8.4%
mnist                           59      535      594       9.9%
places365                        0      594      594       0.0%
svhn                            57      537      594       9.6%
